slug,family,type,name,name_fr,description_en,description_fr,official_url
agentic-workflow-automation,ai_ml_automation,hard_skill,Agentic Workflow Automation,Automatisation de flux de travail agentiques,Automating complex workflows using agentic AI systems to improve efficiency and decision-making.,Automatiser des flux de travail complexes avec des systèmes d'IA agentiques pour gagner en efficacité.,
agentic-loop-design,ai_ml_automation,hard_skill,Agentic Loop Design,Conception de boucles agentiques,Designing feedback loops in AI systems to enhance learning and adaptation processes.,Concevoir des boucles de rétroaction dans les systèmes d'IA pour améliorer l'apprentissage.,
ai-agent-orchestration,ai_ml_automation,hard_skill,AI Agent Orchestration,Orchestration d'agents IA,Coordinating multiple AI agents to work together seamlessly for complex tasks.,Coordonner plusieurs agents IA pour qu'ils collaborent efficacement sur des tâches complexes.,
ai-image-generation,ai_ml_automation,hard_skill,AI Image Generation,Génération d'images par IA,"Creating images using AI algorithms, often for art, design, or content creation.","Générer des images avec des algorithmes d'IA pour l'art, le design ou la création de contenu.",
ai-music,ai_ml_automation,hard_skill,AI Music,Musique IA,"Using AI to compose, generate, or assist in music creation and production.","Utiliser l'IA pour composer, générer ou aider à la création musicale.",
ai-tool-use,ai_ml_automation,hard_skill,AI Tool Use,Utilisation d'outils par IA,Applying AI tools effectively across various domains to enhance productivity.,Utiliser efficacement des outils d'IA dans différents domaines pour augmenter la productivité.,
ai-workflow-integration,ai_ml_automation,hard_skill,AI Workflow Integration,Intégration de flux de travail IA,Integrating AI into existing workflows to automate and optimize processes.,Intégrer l'IA dans les flux de travail existants pour automatiser et optimiser.,
ai-assisted-content-authoring,ai_ml_automation,hard_skill,AI-Assisted Content Authoring,Création de contenu assistée par IA,Using AI to assist in creating and editing content for various media.,Utiliser l'IA pour aider à la création et à la modification de contenu multimédia.,
ai-driven-drug-discovery,health_biotech_medtech,hard_skill,AI-Driven Drug Discovery,Découverte de médicaments pilotée par IA,Leveraging AI to accelerate the discovery and development of new medications.,Exploiter l'IA pour accélérer la découverte et le développement de nouveaux médicaments.,
ai-powered-product-discovery,ai_ml_automation,hard_skill,AI-Powered Product Discovery,Découverte produit pilotée par IA,Using AI to identify and recommend new products based on market data.,Utiliser l'IA pour identifier et recommander de nouveaux produits selon les données du marché.,
anomaly-detection,ai_ml_automation,hard_skill,Anomaly Detection,Détection d'anomalies,Identifying unusual patterns or outliers in data to prevent errors or fraud.,Détecter des anomalies ou des écarts dans les données pour prévenir erreurs ou fraudes.,
autonomous-driving-perception-systems,ai_ml_automation,hard_skill,Autonomous Driving Perception Systems,Systèmes de perception pour conduite autonome,Systems that enable autonomous vehicles to perceive their environment safely.,Systèmes permettant aux véhicules autonomes de percevoir leur environnement en toute sécurité.,
business-process-automation-design,ai_ml_automation,hard_skill,Business Process Automation Design,Conception d'automatisation des processus métier,Designing automated solutions to streamline business operations and workflows.,Concevoir des solutions automatisées pour rationaliser les opérations et flux de travail.,
chatbot-and-assistant-design,ai_ml_automation,hard_skill,Chatbot & Assistant Design,Conception de chatbots et assistants,Creating conversational agents to assist users and automate customer service.,Créer des agents conversationnels pour aider les utilisateurs et automatiser le service client.,
churn-prediction,ai_ml_automation,hard_skill,Churn Prediction,Prédiction de churn,Predicting customer attrition to improve retention strategies.,Prédire le départ des clients pour améliorer les stratégies de fidélisation.,
clinical-ai,health_biotech_medtech,hard_skill,Clinical AI,IA clinique,Applying AI techniques to improve diagnostics and treatment in healthcare.,Utiliser l'IA pour améliorer le diagnostic et le traitement en santé.,
computer-vision-for-crop-monitoring,sustainability_climate_energy_agri,hard_skill,Computer Vision for Crop Monitoring,Vision par ordinateur pour le suivi des cultures,Using computer vision to monitor crop health and optimize agricultural practices.,Utiliser la vision par ordinateur pour surveiller la santé des cultures et optimiser l'agriculture.,
content-recommendation,ai_ml_automation,hard_skill,Content Recommendation,Recommandation de contenu,Providing personalized content suggestions based on user preferences and behavior.,Fournir des recommandations de contenu personnalisées selon les préférences des utilisateurs.,
context-engineering,ai_ml_automation,hard_skill,Context Engineering,Ingénierie du contexte,Designing systems that understand and utilize context for better AI responses.,Concevoir des systèmes qui comprennent et utilisent le contexte pour de meilleures réponses IA.,
conversational-commerce,ai_ml_automation,hard_skill,Conversational Commerce,Commerce conversationnel,Facilitating shopping experiences through chatbots and conversational interfaces.,Faciliter l'achat via des chatbots et interfaces conversationnelles.,
data-labeling-and-annotation,ai_ml_automation,hard_skill,Data Labeling & Annotation,Labellisation de données et annotation,Preparing data by labeling and annotating to train effective AI models.,Préparer les données en les étiquetant et annotant pour entraîner des modèles IA efficaces.,
deep-learning-model-training,ai_ml_automation,hard_skill,Deep Learning Model Training,Entraînement de modèles de deep learning,Training deep learning models to recognize patterns and make predictions.,Entraîner des modèles de deep learning pour reconnaître des motifs et faire des prédictions.,
demand-sensing,ai_ml_automation,hard_skill,Demand Sensing,Détection de la demande,Using AI to predict market demand and optimize supply chain decisions.,Utiliser l'IA pour prévoir la demande du marché et optimiser la chaîne d'approvisionnement.,
diagnostic-modeling,health_biotech_medtech,hard_skill,Diagnostic Modeling,Modélisation de diagnostic,Modeling health data to assist in accurate medical diagnoses.,Modéliser des données de santé pour aider à des diagnostics précis.,
diffusion-model-operation,ai_ml_automation,hard_skill,Diffusion Model Operation,Exploitation de modèles de diffusion,Managing diffusion models for generating high-quality synthetic data or images.,Exploiter des modèles de diffusion pour générer des données ou images synthétiques de qualité.,
distributed-model-training,ai_ml_automation,hard_skill,Distributed Model Training,Entraînement distribué de modèles,Learn how to train machine learning models across multiple systems to handle large datasets efficiently.,Apprenez à entraîner des modèles d'apprentissage automatique sur plusieurs systèmes pour gérer efficacement de grands ensembles de données.,
document-intelligence,ai_ml_automation,hard_skill,Document Intelligence,Intelligence documentaire,"Develop skills to extract insights from documents using AI, such as OCR and natural language processing.","Acquérir des compétences pour extraire des informations des documents avec l'IA, comme la reconnaissance optique de caractères et le traitement du langage naturel.",
edge-ai-deployment,ai_ml_automation,hard_skill,Edge AI Deployment,Déploiement d'edge IA,Understand how to deploy AI models on edge devices for real-time processing and reduced latency.,Comprendre comment déployer des modèles d'IA sur des appareils en périphérie pour un traitement en temps réel et une latence réduite.,
feature-engineering,ai_ml_automation,hard_skill,Feature Engineering,Ingénierie des caractéristiques,Learn techniques to select and transform data features to improve machine learning model performance.,Apprenez à sélectionner et transformer des caractéristiques de données pour améliorer la performance des modèles d'apprentissage automatique.,
function-calling-integration,ai_ml_automation,hard_skill,Function Calling Integration,Intégration de function calling,Gain skills to integrate function calling capabilities into AI applications for enhanced automation.,Acquérir des compétences pour intégrer la capacité d'appeler des fonctions dans des applications d'IA pour une automatisation améliorée.,
generative-ai-content-production,ai_ml_automation,hard_skill,Generative AI Content Production,Production de contenu par IA générative,"Master the creation of content using generative AI models for text, images, and more.","Maîtriser la création de contenu avec des modèles d'IA générative pour du texte, des images, et autres.",
