ID,Nom,Acronyme,Sous-Segment,Pays,Ville,Site Web,Contact Principal,Titre Contact,Email,Telephone,Adresse,Priorite,Statut Pipeline,Owner,Pertinence Etudesk,Derniere Action,Date Derniere Action,Prochaine Action,Date Prochaine Action,Notes
G01,Ministere de la Promotion de la Jeunesse de l'Insertion Professionnelle et du Service Civique,MPJIPSC,Ministere,Cote d'Ivoire,Abidjan,https://jeunesse.gouv.ci,,,,,,P2,Prospect,,Insertion professionnelle des jeunes - programmes emploi jeunes - service civique,,,,,
G02,Ministere de l'Emploi et de la Protection Sociale,,Ministere,Cote d'Ivoire,Abidjan-Plateau,https://emploi.gouv.ci,Adama KAMARA,Ministre,info@emploi.gouv.ci,+225 27 20 32 26 83,Tour A Cite administrative Plateau 12e etage,P1,Prospect,Lamine,Politique nationale emploi - placement demandeurs - matching talents/entreprises,,,,,Secretaire d'Etat: Clarisse KAYO MAHI
G03,Ministere de l'Education Nationale et de l'Alphabetisation,MENA,Ministere,Cote d'Ivoire,Abidjan,https://education.gouv.ci,,,+225 20 21 02 75,,,P2,Prospect,,Formation des enseignants - gestion RH secteur educatif,,,,,
G04,Ministere de l'Enseignement Superieur et de la Recherche Scientifique,MESRS,Ministere,Cote d'Ivoire,Abidjan,https://enseignement.gouv.ci,Professeur Adama DIAWARA,Ministre,,,,P1,Prospect,Lamine,Orientation bacheliers - insertion diplomes - gestion universites - fort potentiel Etudesk OS,,,,,
G05,Ministere de la Transition Numerique et de la Digitalisation,,Ministere,Cote d'Ivoire,Abidjan,https://telecom.gouv.ci,Stephane Coulibaly,Directeur du Secteur Prive,,+2250704751027,,P1,Contact Initial,Lamine,Transformation numerique - startups - cybersecurite - partenaire strategique deploiement Etudesk OS,WhatsApp envoye,2026-02-09,Relance / prise de RDV,,
G06,METFPA - Ministere de l'Enseignement Technique de la Formation Professionnelle et de l'Apprentissage,METFPA,Ministere,Cote d'Ivoire,Abidjan,https://formation-professionnelle.gouv.ci,N'Guessan Koffi,Ministre,,,,P1,Prospect,Lamine,Tutelle FDFP/DIGIFOP/AGEFOP - 60 etablissements publics - Convention ENCAF digitalisation,,,,,PROSPECT STRATEGIQUE - deploiement institutionnel
G07,ANSUT - Agence Nationale du Service Universel des Telecommunications,ANSUT,Agence gouvernementale,Cote d'Ivoire,Abidjan (Cocody),https://ansut.ci,Gilles Thierry BEUGRE,DG,,+225 22 52 95 05,Riviera Attobancody,P2,Prospect,,Transformation numerique administration - inclusion numerique - deploiement digital,,,,,DG depuis nov 2025
G08,Agence Emploi Jeunes,AEJ,Agence gouvernementale,Cote d'Ivoire,Abidjan (Koumassi),https://www.agenceemploijeunes.ci,,,98 197,,39 Bd Clozel Plateau Immeuble Perignon,P1,Prospect,Lamine,142 000 beneficiaires PNSAR - stages - apprentissage - suivi beneficiaires et matching emploi,,,,,PROSPECT PRIORITAIRE - partenariat OpenClassrooms
G09,FDFP - Fonds de Developpement de la Formation Professionnelle,FDFP,Organisme public,Cote d'Ivoire,Abidjan,https://fdfp.ci,Dr Philippe Kouakou N'DRI,Secretaire General,,+225 27 21 75 05 05,Maison de la Formation VGE 20 BP 1068 Abidjan 20,P1,Prospect,Lamine,27 000+ plans de formation - 600+ structures privees - effet de levier massif si adoption,,,,,PROSPECT STRATEGIQUE MAJEUR - noeud central ecosysteme
G10,DIGIFOP,,Plateforme numerique,Cote d'Ivoire,National,https://www.digifop.ci,,,,,,P1,Prospect,Lamine,Repertoire digital metiers - annuaire ecosysteme formation pro - integration Etudesk OS,,,,,POTENTIEL D'INTEGRATION directe
G11,AGEFOP - Agence Nationale de la Formation Professionnelle,AGEFOP,Agence gouvernementale,Cote d'Ivoire,Abidjan,https://www.agefop.ci,,,,,,P2,Prospect,,Ingenierie de formation professionnelle - insertion - complementaire FDFP,,,,,
G12,CEPICI - Centre de Promotion des Investissements en CI,CEPICI,Agence gouvernementale,Cote d'Ivoire,Abidjan (Plateau),https://www.cepici.gouv.ci,Solange Amichia,Directrice Generale,infos.cepici@cepici.ci,+225 20 31 14 00,16e etage Immeuble Bellerive Av Abdoulaye Fadiga,P2,Prospect,,Promotion investissements - introduction aupres investisseurs et partenaires,,,,,
G13,Ministere de la Communication des Telecommunications et du Numerique,MCTN,Ministere,Senegal,Dakar,https://www.mctn.sn,Moussa Bocar THIAM,Ministre,,33 889 17 15,Cite keur Gorgui,P1,Prospect,Lamine,Strategie numerique nationale - 58.4 milliards FCFA budget - hub numerique africain,,,,,
G14,DER/FJ - Delegation Generale Entrepreneuriat Rapide Femmes et Jeunes,DER/FJ,Organisme public,Senegal,Dakar,https://www.der.sn,,,,+221 800004041,Bd Saint Louis X Des Ecrivains Immeuble Djarraf Pt E,P1,Prospect,Lamine,552 communes - appui entrepreneurs/PME - suivi beneficiaires et mesure impact,,,,,PROSPECT PRIORITAIRE
G15,ANPEJ - Agence Nationale Promotion Emploi des Jeunes,ANPEJ,Agence gouvernementale,Senegal,Dakar,https://anpej.sn,Amadou Lamine DIENG,DG,anpej@anpej.sn,33 869 19 83,Avenue Bourguiba lot 1 SODIDA,P2,Prospect,,Placement des jeunes - suivi demandeurs d'emploi,,,,,PCA: Abdoulaye THIMBO
G16,3FPT - Fonds de Financement Formation Professionnelle et Technique,3FPT,Organisme public,Senegal,Dakar,https://3fpt.sn,,contact@3fpt.sn,+221 33 869 25 80,,,P1,Prospect,Lamine,5 000 bons formation/an - 700 000 jeunes objectif 2029 - equivalent FDFP Senegal,,,,,PROSPECT PRIORITAIRE
G17,ONFP - Office National de Formation Professionnelle,ONFP,Organisme public,Senegal,Dakar,https://www.onfp.sn,,,33 827 92 51,,Cite Sipres 1 lot 2 02 voies Liberte 6 VDN,P2,Prospect,,Formations branches professionnelles - plateforme SIGOF - partenariat 3FPT pour PROFOR,,,,,
