ID,Nom,Acronyme,Sous-Segment,Pays,Ville,Site Web,Taille Etudiants,Contact Principal,Titre Contact,Email,Telephone,Priorite,Statut Pipeline,Owner,Pertinence Etudesk,Derniere Action,Date Derniere Action,Prochaine Action,Date Prochaine Action,Notes
U01,Universite Felix Houphouet-Boigny,UFHB,Universite Publique,Cote d'Ivoire,Abidjan (Cocody),https://w.univ-fhb.edu.ci/,+50 000,,Recteur,info@ufhb.edu.ci,,P1,Prospect,Lamine,Plus grande universite de CI - 13 facultes - gestion massive des parcours etudiants et competences,,,,,Fondee 1964 - Volume massif ideal pour Etudesk OS
U02,Universite Nangui Abrogoua,UNA,Universite Publique,Cote d'Ivoire,Abidjan (Abobo-Adjame),https://www.univ-na.ci/,~5 000,Prof. TANO Yao,President,,,P2,Prospect,,4 UFR sciences - potentiel gestion competences scientifiques,,,,,
U03,Institut National Polytechnique Felix Houphouet-Boigny,INP-HB,Grande Ecole Publique,Cote d'Ivoire,Yamoussoukro,https://www.inphb.edu.ci/,~5 000,Moussa Diaby,Directeur General,,BP 1093 Yamoussoukro,P1,Prospect,Lamine,Ecole d'ingenieur de reference Afrique de l'Ouest - insertion professionnelle - suivi stages,,,,,Fondee 1996 - partenariats industriels forts
U04,Ecole Nationale Superieure de Statistique et d'Economie Appliquee,ENSEA,Grande Ecole Publique,Cote d'Ivoire,Abidjan,https://ensea.ed.ci/,~500,,Directeur General,,,P2,Prospect,,Centre d'Excellence Africain (Banque Mondiale) - Centre Regional UEMOA,,,,,Fondee 1961 - niche mais prestige eleve
U05,Ecole Superieure Africaine des Technologies de l'Information et de la Communication,ESATIC,Grande Ecole Publique,Cote d'Ivoire,Abidjan (Treichville),https://esatic.ci/,~500,,Directeur General,,+225 56 16 33 93,P1,Prospect,Lamine,Formation TIC - reseaux - programmation - cybersecurite - alignement direct Etudesk,,,,,Fondee 1967 - prospect naturel tech
U06,Universite Virtuelle de Cote d'Ivoire,UVCI,Universite Publique Numerique,Cote d'Ivoire,Abidjan (Cocody),https://www.uvci.edu.ci/,~5 000,,Recteur - Pr Tiemoman Kone,secretariat@uvci.edu.ci,,P1,Prospect,Lamine,Universite en ligne - concurrent/partenaire potentiel - partenariat MTN et OpenClassrooms,,,,,PROSPECT PRIORITAIRE - complementarite ou integration
U07,PIGIER Cote d'Ivoire,PIGIER CI,Grande Ecole Privee,Cote d'Ivoire,Abidjan,https://www.pigierci.com/,~3 000,Jeremie Alfred N'GOUAN,DG,pigierci@pigierci.com,+225 20 30 35 00,P2,Prospect,,BTS - Licence - Master - gestion des parcours de formation,,,,,Fondee 1956 - 23 Bd de la Republique
U08,Groupe LOKO,LOKO,Groupe d'Ecoles Privees,Cote d'Ivoire,Abidjan (Marcory),http://www.groupeloko.com/,~3 000,,Directeur General,infos@groupeloko.com,+225 21 75 29 90,P2,Prospect,,10+ ecoles - 22 BTS - volume et diversite des parcours,,,,,Fonde 1988
U09,HEC Abidjan,HEC Abidjan,Business School Privee,Cote d'Ivoire,Abidjan (Cocody),https://www.hecabidjan.ci/,~2 000,,Directeur General,,+225 22 48 48 12,P2,Prospect,,Business school - gestion competences manageriales,,,,,Fondee 2001
U10,ESCA - Ecole Superieure de Commerce d'Abidjan,ESCA,Business School Publique,Cote d'Ivoire,Yamoussoukro,https://www.labelesca.ci/,~1 000,,Directeur,,,P3,Prospect,,Partenariat historique HEC Paris - commerce et administration,,,,,Fondee 1975 au sein INP-HB
