Nom Complet,Type,Pays,Ville,Site Web,Email Contact,Telephone,Directeur / CEO,Programmes / Partenariats Cles
ZEBOX West Africa,Accelerateur / Incubateur,Cote d'Ivoire,Abidjan,https://www.ze-box.io/hubs/west-africa,,,"Joseph-Olivier Biley (Hub Manager West Africa)","Programmes Immerse, Ignite, Accelerate; Partenariat CMA CGM; Focus logistics, supply chain, maritime tech"
AfricaWorks Abidjan,Coworking / Hub,Cote d'Ivoire,Abidjan (Plateau + Marcory),https://www.africaworks.co/,[email protected],+27 79 882 7447,"Gregoire Schwebig (Founder & CEO, global)","Coworking, bureaux prives, coliving; Presence dans 7 villes en Afrique; Workshops et networking"
Impact Hub Abidjan,Incubateur / Coworking,Cote d'Ivoire,Abidjan (Riviera 3),"https://abidjan.impacthub.net",[email protected],+225 07 68 84 91 90,,"Incubation, acceleration, coworking; Reseau mondial Impact Hub; Focus impact social"
Orange Digital Center Cote d'Ivoire,Hub Digital / Accelerateur,Cote d'Ivoire,Abidjan,https://www.orangedigitalcenters.com/country/CI/home,,,,"Orange Digital Academy (coding), FabLab Solidaire, Orange Fab (accelerateur), Orange Ventures Africa; 1200 m2; Formations gratuites IA, blockchain, robotique"
Orange Fab Cote d'Ivoire,Accelerateur,Cote d'Ivoire,Abidjan,https://www.orangefab.ci/,,,,"1er accelerateur Orange Fab en Afrique (2014); Coworking, coaching, mentorat, acces API Orange; Soutien financier startups"
CGECI Academy / Incubateur CGECI,Incubateur / Patronat,Cote d'Ivoire,Abidjan (Riviera Bonoumin),https://cgeciacademy.org/,,,"Stephane AKA-ANGHUI (DG CGECI)","Forum economique annuel; Incubateur startups; Concours Tremplin Startup UEMOA; Partenariat patronat ivoirien"
Incub'Ivoir,Incubateur,Cote d'Ivoire,Abidjan (II Plateaux Angre),https://incubivoir.net/,info@incubivoir.net,+225 01 41 89 64 04,"Hermann Christian Kouassi (President, co-fondateur)","Specialise secteur agricole; Incubation projets innovants; Membre AfriLabs; Partenaire Enabel/TDC"
Seedspace Abidjan,Coworking / Hub,Cote d'Ivoire,Abidjan (Zone 4),https://www.seedspace.co/en/co-working/abidjan/,capetown@seedstars.com,,,"Reseau Seedstars mondial; Coworking pour entrepreneurs et startups; Focus impact positif pays emergents"
Akendewa,Tech Hub,Cote d'Ivoire,Abidjan (Cocody),http://www.akendewa.org/,,+225 25 20 01 20 34,"Jean-Patrick Ehouman (President, co-fondateur)","1er tech hub Afrique francophone; Communaute technologie internet/mobile; Soutien startups tech"
Ovillage,Coworking / Tiers-lieu,Cote d'Ivoire,Abidjan (Zone 4 Marcory),https://ovillage.ci/,,,,"Espace libre et open-source; Intelligence collective et innovation sociale; Gestion collaborative par les membres"
Comoe Capital,Fonds / Accelerateur,Cote d'Ivoire,Abidjan (Plateau),https://comoecapital.com/,,,"Djibril Doumbia (DG)","1er fonds d'impact dedie PME/startups CI; Financement 20-300M FCFA; Coaching personnalise; Sponsorise par I&P (Investisseurs & Partenaires)"
MEST Africa Cote d'Ivoire,Incubateur / Fonds,Cote d'Ivoire,Abidjan,https://mfroundation.org/,,,,Programme de formation tech; Fonds d'amorcage; Fonde par Meltwater Foundation; Focus entreprises software pan-africaines
CTIC Dakar,Incubateur,Senegal,Dakar,https://www.cticdakar.com/,contact@cticdakar.com,+221 33 842 49 00,"Isidore Mbodji (Directeur General)","Incubateur leader TIC au Senegal; Conseil strategie et business model; Reseau ecosysteme; Partenariat CIPMEN Niger"
Jokkolabs Dakar,Coworking / Hub,Senegal,Dakar (Sacre Coeur 3),https://www.jokkolabs.net/,,,,"Pionnier coworking Afrique (2010); Presence a Dakar, Saint-Louis, Bamako, Ouagadougou, Paris; Fondateur Karim Sy; Entrepreneuriat et Open Data"
Impact Hub Dakar,Incubateur / Coworking,Senegal,Dakar (Keur Gorgui),https://dakar.impacthub.net/,,+221 77 175 81 77,,"Coworking, incubation, acceleration; Reseau mondial Impact Hub; Focus impact social"
Concree,Incubateur / Plateforme virtuelle,Senegal,Dakar,https://concree.com/,,,Babacar Birane (CEO),"1ere plateforme incubation virtuelle en Afrique (2014); +700 entrepreneurs accompagnes; Partenaires USAID, GIZ, Enabel, AFD; Presence dans 9 villes senegalaises"
Teranga Tech Incub,Reseau d'incubateurs,Senegal,Dakar + 4 villes,https://www.terangatechincub.org/,,,,Reseau de 5 incubateurs (Dakar, Saint-Louis, Kaolack, Ziguinchor, Banjul/Gambie); Soutien Ambassade de France; 70 projets/an; Mentorat 6 mois; Focus industries creatives
Orange Digital Center Senegal,Hub Digital / Accelerateur,Senegal,Dakar,https://orangedigitalcenter.sn/,contact@orangedigitalcenter.sn,+221 33 839 21 00,,"Coding school, FabLab Solidaire, Orange Fab, Orange Ventures Africa; 2000 m2 sur 6 etages; Formations gratuites; 1er ODC en Afrique de l'Ouest"
Orange Startup Studio Senegal,Accelerateur,Senegal,Dakar,https://orangestartupstudio.sn/,,,,"Support personnalise startups; Partenariats business units Orange; Soutien financier; Reseau 20 pays; Imprimante 3D, coworking"
Sonatel Academy / Simplon Dakar,Ecole de codage,Senegal,Dakar,https://sonatelacademy.com/,,+221 33 824 29 27,,"Formation gratuite; Dev web/mobile, data, digital; Partenariat Simplon.co; Ordinateur portable fourni; 18-30 ans"
La Fabrique,Incubateur / Accelerateur,Burkina Faso,Ouagadougou,https://www.lafabrique-bf.com/,,,"Lisa Barutel (Fondatrice)","1er incubateur social Afrique de l'Ouest (2014); Label Afric'innov; Focus entreprises sociales; Coworking"
Jokkolabs Ouagadougou,Coworking / Hub,Burkina Faso,Ouagadougou (Ouaga 2000),https://www.jokkolabs.net/,,,,Coworking pour startups et freelances; Reseau Jokkolabs; Evenements entrepreneuriat; Support micro-entreprises et economie numerique
OuagaLab,FabLab / Tech Hub,Burkina Faso,Ouagadougou,http://www.ouagalab.org/,gildasguiella@ouagalab.bf,"+226 70766380 / +226 78927197","Gildas Guiella (co-fondateur)","1er FabLab Afrique francophone; FabLab Solidaire Orange; Fabrication numerique; Prototypage"
2iE Technopole,Hub Innovation / Formation,Burkina Faso,Ouagadougou,https://www.2ie-edu.org/,2ie@2ie-edu.org,+226 25 49 28 00,,"Institut international ingenierie eau et environnement; Technopole pour etudiants-entrepreneurs; Recherche et innovation"
