Numero;Nom Complet;Acronyme;Type;Pays;Ville;Site Web;Taille (etudiants approx);Email Contact;Telephone;Dirigeant (Titre - Nom);Notes
1;Universite Felix Houphouet-Boigny;UFHB;Universite Publique;Cote d'Ivoire;Abidjan (Cocody);https://w.univ-fhb.edu.ci/;+50 000;info@ufhb.edu.ci;;Recteur;Plus grande universite de CI - 13 facultes - fondee 1964
2;Universite Nangui Abrogoua;UNA;Universite Publique;Cote d'Ivoire;Abidjan (Abobo-Adjame);https://www.univ-na.ci/;~5 000;;;President - Prof. TANO Yao;4 UFR : Sciences fondamentales et appliquees - Sciences et gestion environnement - Sciences et technologies alimentaires - Sciences naturelles
3;Institut National Polytechnique Felix Houphouet-Boigny;INP-HB;Grande Ecole Publique (Ingenierie);Cote d'Ivoire;Yamoussoukro;https://www.inphb.edu.ci/;~5 000;;BP 1093 Yamoussoukro;Directeur General - Moussa Diaby;Ecole d'ingenieur de reference en Afrique de l'Ouest - fondee 1996
4;Ecole Nationale Superieure de Statistique et d'Economie Appliquee;ENSEA;Grande Ecole Publique (Statistique);Cote d'Ivoire;Abidjan;https://ensea.ed.ci/;~500;;;Directeur General;Fondee 1961 - Centre d'Excellence Africain (Banque Mondiale) - Centre Regional d'Excellence UEMOA
5;Ecole Superieure Africaine des Technologies de l'Information et de la Communication;ESATIC;Grande Ecole Publique (TIC);Cote d'Ivoire;Abidjan (Treichville);https://esatic.ci/;~500;;+225 56 16 33 93 / 58 72 14 60;Directeur General;Fondee 1967 - Formations LMD en reseaux - programmation - cybersecurite - web
6;Universite Virtuelle de Cote d'Ivoire;UVCI;Universite Publique (Numerique);Cote d'Ivoire;Abidjan (Cocody Deux-Plateaux);https://www.uvci.edu.ci/;~5 000;secretariat@uvci.edu.ci;;Recteur;Universite en ligne - formations en Informatique et Sciences du Numerique - PROSPECT PRIORITAIRE (concurrent/partenaire potentiel)
7;PIGIER Cote d'Ivoire;PIGIER CI;Grande Ecole Privee (Gestion/Commerce);Cote d'Ivoire;Abidjan;https://www.pigierci.com/;~3 000;pigierci@pigierci.com;+225 20 30 35 00 / +225 07 07 05 78 18;DG - Jeremie Alfred N'GOUAN;Fondee 1956 - 23 Bd de la Republique - BTS - Licence - Master
8;Groupe LOKO;LOKO;Groupe d'Ecoles Privees;Cote d'Ivoire;Abidjan (Marcory);http://www.groupeloko.com/;~3 000;infos@groupeloko.com;+225 21 75 29 90;Directeur General;Fonde 1988 - 10+ ecoles dont EST-LOKO - William Ponty - UTT-LOKO - 22 BTS
9;HEC Abidjan - Hautes Etudes Commerciales;HEC Abidjan;Business School Privee;Cote d'Ivoire;Abidjan (Cocody);https://www.hecabidjan.ci/;~2 000;;+225 22 48 48 12 / +225 07 09 23 49;Directeur General;Fondee 2001 - Bd Mitterrand face Ecole Gendarmerie Cocody
10;ESCA - Ecole Superieure de Commerce d'Abidjan;ESCA;Business School Publique;Cote d'Ivoire;Yamoussoukro (au sein INP-HB);https://www.labelesca.ci/;~1 000;;;Directeur;Fondee 1975 en partenariat avec HEC Paris - formation commerce et administration
